Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
7876.923483037594,-9.64213367521041,7876.923483037594,592.3847944054314,36294094028.0235,-9.64213367521041,590.3968482431162,39213598.29963834,606311826.0577103,761712367943.983,0.0
7890.787542786488,-9.488282583620974,7890.787542786488,597.5981073274735,36265646933.52102,-9.488282583620974,589.1440515025631,38446493.098425016,593427900.3757637,761053004306.8726,0.0
7918.773840633544,-8.010784411997257,7918.773840633544,610.5759345037501,36262442030.53671,-8.010784411997257,575.7071890873477,36193224.93503916,557021122.476978,760967970754.7789,0.0
7919.866560871099,-6.479493890828568,7919.866560871099,631.0145588816783,36233708096.002266,-6.479493890828568,555.5892160745783,33165336.5175705,508357117.60350007,760340442612.9365,0.0
7920.6844419525005,-4.092161033789193,7920.6844419525005,651.4538653688938,36261229462.72511,-4.092161033789193,535.3522798308547,30521135.104094476,465784301.1855978,760909081615.8286,0.0
7906.988867637807,-1.0761065524766422,7906.988867637807,665.8087579704699,36250543606.87138,-1.0761065524766422,519.6860344051997,28764005.781879596,437462139.57016355,760688478683.3071,0.0
7716.063418437324,-1.9120568902810584,7716.063418437324,1029.853719476621,36283794487.88521,-1.9120568902810584,535.7400460666094,29938864.8577444,458857242.7659103,761621921582.32,0.0
5832.777212980694,8.444842005118872,5832.777212980694,584.2335678002596,36598462837.18648,8.444842005118872,547.3876114458914,32346174.999615602,492716475.78125757,770680341182.846,0.0
5833.136219695641,9.243287040567715,5833.136219695641,570.4765572323994,36605305980.84003,9.243287040567715,562.9803286424357,34264576.73568738,523053622.7982481,770819251187.1141,0.0
5842.034033682053,9.306479322361614,5842.034033682053,567.6912479229064,36591109500.75051,9.306479322361614,570.4072614538752,35038278.14993607,535417176.9816314,770491369573.8225,0.0
5832.882767365912,8.873359143561345,5832.882767365912,576.8497466261962,36577542847.82559,8.873359143561345,566.0960101643718,34163946.031047136,521322499.1764015,770210952689.958,0.0
5857.076512494043,7.478520047476767,5857.076512494043,595.4269923293123,36537488597.473564,7.478520047476767,552.5305750598676,32242134.001105137,490992810.5149145,769339714607.3467,0.0
5869.231655518383,5.924393069404692,5869.231655518383,612.2730314594947,36530489463.60509,5.924393069404692,530.1514280702453,29347952.145520866,445008908.14088255,769180902571.0171,0.0
5864.175288576465,3.97736951530167,5864.175288576465,634.5581754065338,36580007575.619255,3.97736951530167,512.6269041067142,27306154.07214157,412509887.1447947,770233363670.471,0.0
5875.144241802104,1.3552594976217884,5875.144241802104,645.2746913868485,36603391703.011,1.3552594976217884,497.33894619331534,25679792.360235717,386477361.7277859,770720178527.0747,0.0
5871.620681839652,-2.227801765276062,5871.620681839652,649.8316714717531,36551738134.88986,-2.227801765276062,493.977667817332,25540775.794708848,384649100.18306893,769619882452.5394,0.0
5924.285599033132,-4.3437947483689605,5924.285599033132,633.0366641415294,36400726611.2817,-4.3437947483689605,502.35393321496076,26916979.943941303,407421348.0953868,766358312962.074,0.0
5939.687150084472,-6.55880085483066,5939.687150084472,617.4038057557921,36420851720.94564,-6.55880085483066,520.9267702076666,29368214.529997338,446821350.8493136,766773346040.884,0.0
5987.697281337907,-8.285471761321016,5987.697281337907,594.4392823258243,36392829429.15623,-8.285471761321016,542.7507786599194,32157089.12155591,490694475.4504675,766141085064.6638,0.0
5998.462437464568,-9.498303573404499,5998.462437464568,576.8148591701969,36377432716.75229,-9.498303573404499,559.3392672857527,34334405.84020687,525042620.5938465,765806308855.443,0.0
